48,1001300,北京邮电大学,北京,北京市,教育部,普通本科,理工类,公办,是,否,是
3202,1640700,香港中文大学（深圳）,广东,深圳市,广东省教育厅,普通本科,综合类,内地与港澳台地区合作办学,否,否,否
115,1031900,南京师范大学,江苏,南京市,江苏省,普通本科,师范类,公办,是,否,是
121,1049100,中国地质大学（武汉）,湖北,武汉市,教育部,普通本科,理工类,公办,是,否,是
86,1029500,江南大学,江苏,无锡市,教育部,普通本科,综合类,公办,是,否,是
116,1029400,河海大学,江苏,南京市,教育部,普通本科,综合类,公办,是,否,是
61,1042300,中国海洋大学,山东,青岛市,教育部,普通本科,综合类,公办,是,是,是
30,1000500,北京工业大学,北京,北京市,北京市,普通本科,理工类,公办,是,否,是
429,1022600,哈尔滨医科大学,黑龙江,哈尔滨市,黑龙江省,普通本科,医药类,公办,否,否,否
556,1001000,北京化工大学,北京,北京市,教育部,普通本科,理工类,公办,是,否,是
37,1069700,西北大学,陕西,西安市,陕西省,普通本科,综合类,公办,是,否,是
101,1065100,西南财经大学,四川,成都市,教育部,普通本科,财经类,公办,是,否,是
120,1042500,中国石油大学（华东）,山东,青岛市,教育部,普通本科,理工类,公办,是,否,是
334,1071800,陕西师范大学,陕西,西安市,教育部,普通本科,师范类,公办,是,否,是
78,1006200,天津医科大学,天津,天津市,天津市,普通本科,医药类,公办,是,否,是
414,1052000,中南财经政法大学,湖北,武汉市,教育部,普通本科,财经类,公办,是,否,是
284,1059000,深圳大学,广东,深圳市,广东省,普通本科,综合类,公办,否,否,否
108,1040300,南昌大学,江西,南昌市,江西省,普通本科,综合类,公办,是,否,是
242,1033700,浙江工业大学,浙江,杭州市,浙江省,普通本科,理工类,公办,否,否,否
230,1015900,中国医科大学,辽宁,沈阳市,辽宁省,普通本科,医药类,公办,否,否,否
830,1141500,中国地质大学（北京）,北京,北京市,教育部,普通本科,理工类,公办,是,否,是
934,1063500,西南大学,重庆,重庆市,教育部,普通本科,综合类,公办,是,否,是
103,1038600,福州大学,福建,福州市,福建省,普通本科,理工类,公办,是,否,是
332,1071200,西北农林科技大学,陕西,咸阳市,教育部,普通本科,农林类,公办,是,是,是
831,1005400,华北电力大学,北京,北京市,教育部,普通本科,理工类,公办,是,否,是
1006,1141300,中国矿业大学（北京）,北京,北京市,教育部,普通本科,理工类,公办,是,否,是
135,1025500,东华大学,上海,上海市,教育部,普通本科,综合类,公办,是,否,是
170,1029900,江苏大学,江苏,镇江市,江苏省,普通本科,综合类,公办,否,否,否
98,1057400,华南师范大学,广东,广州市,广东省,普通本科,师范类,公办,是,否,是
39,1003000,北京外国语大学,北京,北京市,教育部,普通本科,语言类,公办,是,否,是
35,1067300,云南大学,云南,昆明市,云南省,普通本科,综合类,公办,是,否,是
